ID,MCAT,nMCAT,GPA,nGPA,sGPA,nsGPA,Clinical Hours,nClinical Hours,Research Hours,nResearch Hours,Student-Athlete?,nStudent-Athlete?,Shadowing Hours,nShadowing Hours,Applications,Secondaries,Secondary %,Interviews,Interview %,Waitlists,Waitlist %,Acceptances,Acceptance %
1,518,0.748575977,3.77,0.134464613,3.56,-0.43582691,3000,0.969676383,350,-0.543902514,1,1.333945938,65,-0.238896481,33,33,1,2,0.060606061,2,0.060606061,1,0.03030303
2,523,1.791673649,3.94,0.828398064,3.86,0.686757555,5000,2.284990141,2000,0.493246739,0,-0.727606875,50,-0.317147737,32,16,0.5,13,0.40625,3,0.09375,11,0.34375
3,517,0.539956442,3.7,-0.15127269,3.5,-0.660343803,600,-0.608700127,4000,1.75039735,0,-0.727606875,60,-0.264980233,38,32,0.842105263,22,0.578947368,4,0.105263158,18,0.473684211
4,521,1.37443458,3.81,0.297743072,3.84,0.611918591,30,-0.983564549,1575,0.226102235,0,-0.727606875,0,-0.577985257,20.5,9,0.43902439,9,0.43902439,4,0.195121951,4,0.195121951
5,511,-0.711760765,3.3,-1.78405728,3,-2.531317911,530,-0.654736109,0,-0.763903871,1,1.333945938,0,-0.577985257,42,34,0.80952381,10,0.238095238,2,0.047619048,8,0.19047619
6,512,-0.50314123,3.63,-0.437009993,3.48,-0.735182767,1750,0.147605284,750,-0.292472392,1,1.333945938,302,0.997473363,19,3,0.157894737,3,0.157894737,1,0.052631579,2,0.105263158
7,510,-0.920380299,3.9,0.665119605,3.9,0.836435484,1500,-0.016808936,0,-0.763903871,1,1.333945938,40,-0.369315241,21,6,0.285714286,6,0.285714286,3,0.142857143,1,0.047619048
8,525,2.208912718,3.94,0.828398064,3.85,0.649338073,240,-0.845456604,1000,-0.135328566,1,1.333945938,100,-0.056310218,30,16,0.533333333,13,0.433333333,7,0.233333333,6,0.2
9,518,0.748575977,4,1.073315753,4,1.210630305,650,-0.575817283,1000,-0.135328566,1,1.333945938,100,-0.056310218,30,30,1,7,0.233333333,1,0.033333333,4,0.133333333
10,514,-0.085902161,2.9,-3.41684187,3.1,-2.157123089,2000,0.312019504,500,-0.449616218,0,-0.727606875,10,-0.525817753,48,46,0.958333333,3,0.0625,2,0.041666667,0,0
11,514,-0.085902161,3.9,0.665119605,3.9,0.836435484,415,-0.73036665,425,-0.496759366,0,-0.727606875,245,0.70011859,45,43,0.955555556,21,0.466666667,4,0.088888889,13,0.288888889
12,507,-1.546238903,3.98,0.991676523,3.99,1.173210823,505,-0.671177531,8170,4.371556372,1,1.333945938,886,4.044055594,16,15,0.9375,8,0.5,1,0.0625,6,0.375
13,513,-0.294521696,3.7,-0.15127269,3.73,0.200304287,5700,2.745349957,2100,0.55610427,0,-0.727606875,700,3.073740021,43,41,0.953488372,9,0.209302326,3,0.069767442,3,0.069767442
14,510,-0.920380299,3.36,-1.539139592,3.41,-0.997119142,300,-0.805997191,0,-0.763903871,1,1.333945938,30,-0.421482745,25,23,0.92,8,0.32,4,0.16,4,0.16
15,514,-0.085902161,3.6,-0.559468837,3.6,-0.286148981,1200,-0.214106,100,-0.70104634,1,1.333945938,0,-0.577985257,13,13,1,6,0.461538462,2,0.153846154,1,0.076923077
16,520,1.165815046,3.7,-0.15127269,3.38,-1.109377589,364,-0.763907151,100,-0.70104634,1,1.333945938,30,-0.421482745,29,28,0.965517241,14,0.482758621,1,0.034482759,10,0.344827586
17,525,2.208912718,3.95,0.869217679,3.95,1.023532894,1100,-0.279871688,1700,0.304674148,0,-0.727606875,100,-0.056310218,32,21,0.65625,20,0.625,5,0.15625,11,0.34375
18,515,0.122717373,3.82,0.338562687,3.79,0.42482118,130,-0.917798861,2000,0.493246739,0,-0.727606875,130,0.100192294,31,31,1,19,0.612903226,3,0.096774194,11,0.35483871
19,510,-0.920380299,3.97,0.950856908,3.9,0.836435484,1500,-0.016808936,900,-0.198186096,0,-0.727606875,0,-0.577985257,21,6,0.285714286,6,0.285714286,2,0.095238095,2,0.095238095
20,519,0.957195511,3.95,0.869217679,3.94,0.986113412,1600,0.048956752,1800,0.367531678,0,-0.727606875,60,-0.264980233,32,27,0.84375,8,0.25,3,0.09375,4,0.125
21,512,-0.50314123,3.59,-0.600288452,3.62,-0.211310017,2400,0.575082255,900,-0.198186096,0,-0.727606875,90,-0.108477721,37,9,0.243243243,7,0.189189189,2,0.054054054,3,0.081081081
22,520,1.165815046,3.9,0.665119605,3.9,0.836435484,500,-0.674465815,2500,0.807534392,0,-0.727606875,50,-0.317147737,29,12,0.413793103,12,0.413793103,4,0.137931034,7,0.24137931
23,513,-0.294521696,3.53,-0.845206141,3.48,-0.735182767,3000,0.969676383,300,-0.575331279,1,1.333945938,0,-0.577985257,30,29,0.966666667,4,0.133333333,1,0.033333333,3,0.1
24,508,-1.337619368,3.3,-1.78405728,3.3,-1.408733446,4000,1.627333262,2700,0.933249453,1,1.333945938,35,-0.395398993,26,26,1,6,0.230769231,1,0.038461538,5,0.192307692
25,514,-0.085902161,3.61,-0.518649223,3.51,-0.622924321,3500,1.298504822,0,-0.763903871,0,-0.727606875,0,-0.577985257,8,6,0.75,1,0.125,0,0,1,0.125
26,515,0.122717373,3.74,0.012005769,3.69,0.050626358,150,-0.904645723,3100,1.184679575,0,-0.727606875,100,-0.056310218,80,80,1,32,0.4,9,0.1125,14,0.175
27,512,-0.50314123,3.63,-0.437009993,3.4,-1.034538624,525,-0.658024393,500,-0.449616218,0,-0.727606875,0,-0.577985257,25,21,0.84,14,0.56,0,0,11,0.44
28,507,-1.546238903,3.89,0.62429999,3.9,0.836435484,300,-0.805997191,1000,-0.135328566,0,-0.727606875,50,-0.317147737,19,19,1,4,0.210526316,2,0.105263158,2,0.105263158
29,514,-0.085902161,4,1.073315753,3.99,1.173210823,2000,0.312019504,500,-0.449616218,0,-0.727606875,0,-0.577985257,32,32,1,14,0.4375,4,0.125,7,0.21875
30,513,-0.294521696,3.72,-0.06963346,3.69,0.050626358,2000,0.312019504,300,-0.575331279,0,-0.727606875,20,-0.473650249,26,26,1,7,0.269230769,4,0.153846154,1,0.038461538
31,511,-0.711760765,3.98,0.991676523,3.96,1.060952377,400,-0.740231503,400,-0.512473749,0,-0.727606875,24,-0.452783248,20,20,1,2,0.1,0,0,1,0.05
32,514,-0.085902161,3.67,-0.273731534,3.35,-1.221636035,300,-0.805997191,0,-0.763903871,0,-0.727606875,40,-0.369315241,52,52,1,2,0.038461538,1,0.019230769,1,0.019230769
33,513,-0.294521696,3.8,0.256923458,3.65,-0.09905157,400,-0.740231503,400,-0.512473749,0,-0.727606875,150,0.204527302,16,16,1,8,0.5,1,0.0625,5,0.3125
34,508,-1.337619368,3.88,0.583480376,3.88,0.761596519,4280,1.811477188,250,-0.606760045,0,-0.727606875,300,0.987039862,33,26,0.787878788,6,0.181818182,0,0,6,0.181818182
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
